MANDT,KUNNR,SPRAS,NAME1,NAME2,TELF1,TELFX,EMAIL,LANDX,ORT01,STRAS,PSTLZ
100,CUS0000001,E,Jane,Jennings,999 555 6721,999 555 6721,JANEJENN@FAKEMAIL.COM,American,Clarksville,3249 Midway Road,94043-1315
100,CUS0000001,J,Jane,Jennings,999 555 6721,999 555 6721,JANEJENN@FAKEMAIL.COM,アメリカ合衆国,Clarksville,3249 Midway Road,94043-1315
100,CUS0000002,E,Mike,Miller,999-654-2356,999-654-2356,MIKEMILLER@FAKEMAIL.COM,American,Buffalo,2739 May Street,91910-1007
100,CUS0000002,J,Mike,Miller,999-654-2356,999-654-2356,MIKEMILLER@FAKEMAIL.COM,アメリカ合衆国,Buffalo,2739 May Street,91910-1007
100,CUS0000003,E,Christian,Guerin,999-123-5632,999-123-5632,CHRISGUERIN@FAKEMAIL.COM,American,Erie,1016 Stutler Lane,68847-5457
100,CUS0000003,J,Christian,Guerin,999-123-5632,999-123-5632,CHRISGUERIN@FAKEMAIL.COM,アメリカ合衆国,Erie,1016 Stutler Lane,68847-5457
100,CUS0000004,E,Adelia,Elder,999-123-5638,999-123-5638,ADELIAELDER@FAKEMAIL.COM,American,Sausalito,289 Allison Avenue,67202-3723
100,CUS0000004,J,Adelia,Elder,999-123-5638,999-123-5638,ADELIAELDER@FAKEMAIL.COM,アメリカ合衆国,Sausalito,289 Allison Avenue,67202-3723
100,CUS0000005,E,Chiquita,Porter,999-123-5637,999-123-5637,CHIQUITAPORTER@FAKEMAIL.COM,American,Warrenton,3081 Cantebury Drive,68847-5457
100,CUS0000005,J,Chiquita,Porter,999-123-5637,999-123-5637,CHIQUITAPORTER@FAKEMAIL.COM,アメリカ合衆国,Warrenton,3081 Cantebury Drive,68847-5457
100,CUS0000006,E,Priscilla,Zeigler,999-235-9876,999-235-9876,PRISCILLAZEIGLER@FAKEMAIL.COM,American,Rochester,2872 Rosewood Court,30315-1402
100,CUS0000006,J,Priscilla,Zeigler,999-235-9876,999-235-9876,PRISCILLAZEIGLER@FAKEMAIL.COM,アメリカ合衆国,Rochester,2872 Rosewood Court,30315-1402
100,CUS0000007,E,Alfredo,Anderson,999 555 6721,999 555 6721,ALFIANDERSON@FAKEMAIL.COM,American,El Paso,1798 Duck Creek Road,92128-1096
100,CUS0000007,J,Alfredo,Anderson,999 555 6721,999 555 6721,ALFIANDERSON@FAKEMAIL.COM,アメリカ合衆国,El Paso,1798 Duck Creek Road,92128-1096
100,CUS0001,E,Bruce,Lee,81-1555-133-133,81-1555-133-133,BRUCE@ABEAM.COM,China,Shanghai,1798 Duck Creek Road,200010
100,CUS0001,J,Test Customer Name1,Test Customer Name,,,,,,,
100,CUS0002,E,Jackie,Chan,66-6666-166-166,66-6666-166-166,CHAN@ABEAM.COM,China,Beijing,1798 Duck Creek Road,1234
100,CUS0002,J,Test Customer Name2,Test Customer Name2,,,,,,,
