MANDT,ZZ_RPPERSON,SPRAS,NAME1,NAME2,TELF1,TELFX,EMAIL,LANDX,ORT01,STRAS,PSTLZ
100,REP001,E,Tim,Ducan,1234567890,124567890,123@ABEAM.COM,1231,Japan,1798 Duck Creek Road,12314
100,REP002,E,Tony,Paker,222222333333,44444455555,TEST@ABEAM.COM,1231111,Japan,1798 Duck Creek Road,12314111
100,RUS0000001,E,Harry,Harrison,256-817-1568,256-817-1568,HARRY@RUS.COM,American,Huntsville,356 New Creek Road,94304-1355
100,RUS0000001,J,Harry,Harrison,256-817-1568,256-817-1568,HARRY@RUS.COM,アメリカ合衆国,Huntsville,356 New Creek Road,94304-1355
100,RUS0000002,E,Kyle,Kensington,310-466-1271,310-466-1271,KYLE@RUS.COM,American,Arroyo Grande,2219 Diane Street,30315-1402
100,RUS0000002,J,Kyle,Kensington,310-466-1271,310-466-1271,KYLE@RUS.COM,アメリカ合衆国,Arroyo Grande,2219 Diane Street,30315-1402
100,RUS0000003,E,Liam,Lingard,615-572-8600,615-572-8600,LIAM@RUS.COM,American,Blaine,2357 Jim Rosa Lane,91910-1007
100,RUS0000003,J,Liam,Lingard,615-572-8600,615-572-8600,LIAM@RUS.COM,アメリカ合衆国,Blaine,2357 Jim Rosa Lane,91910-1007
100,RUS0000004,E,Michelle,Morris,330-380-2677,330-380-2677,MICHELLE@RUS.COM,American,West Point,2691 Derek Drive,47305-2757
100,RUS0000004,J,Michelle,Morris,330-380-2677,330-380-2677,MICHELLE@RUS.COM,アメリカ合衆国,West Point,2691 Derek Drive,47305-2757
100,RUS0000005,E,Roy,Rollingston,412-750-5984,412-750-5984,ROY@RUS.COM,American,North Wales,3191 Valley Drive,58504-5573
100,RUS0000005,J,Roy,Rollingston,412-750-5984,412-750-5984,ROY@RUS.COM,アメリカ合衆国,North Wales,3191 Valley Drive,58504-5573
100,XUG,E,Xu,Gang,+862985322605,+862985322605,GAXU@ABEAM.COM,China,XIan,"TianGu 8th Road, High-Tech Zone",610001
